都道府県,市区町村,人口
新潟県,粟島浦村,366
富山県,富山市,421953
富山県,高岡市,176061
富山県,魚津市,44959
富山県,氷見市,51726
富山県,滑川市,33676
富山県,黒部市,41852
富山県,砺波市,49410
富山県,小矢部市,32067
富山県,南砺市,54724
富山県,射水市,93588
富山県,舟橋村,2967
富山県,上市町,21965
富山県,立山町,27466
富山県,入善町,27182
富山県,朝日町,13651
石川県,金沢市,462361
石川県,七尾市,57900
石川県,小松市,108433
石川県,輪島市,29858
石川県,珠洲市,16300
石川県,加賀市,71887
石川県,羽咋市,23032
石川県,かほく市,34651
石川県,白山市,110459
石川県,能美市,48680
石川県,野々市市,51885
石川県,川北町,6147
石川県,津幡町,36940
石川県,内灘町,26927
石川県,志賀町,22216
石川県,宝達志水町,14277
石川県,中能登町,18535
石川県,穴水町,9735
石川県,能登町,19565
福井県,福井市,266796
福井県,敦賀市,67760
福井県,小浜市,31340
福井県,大野市,35291
福井県,勝山市,25466
福井県,鯖江市,67450
福井県,あわら市,29989
福井県,越前市,85614
福井県,坂井市,91900
福井県,永平寺町,20647
福井県,池田町,3046
福井県,南越前町,11551
福井県,越前町,23160
福井県,美浜町,10563
福井県,高浜町,11062
福井県,おおい町,8580
福井県,若狭町,16099
山梨県,甲府市,198992
山梨県,富士吉田市,50619
山梨県,都留市,33588
山梨県,山梨市,36832
山梨県,大月市,28120
山梨県,韮崎市,32477
山梨県,南アルプス市,72635
山梨県,北杜市,46968
山梨県,甲斐市,73807
山梨県,笛吹市,70529
山梨県,上野原市,27114
山梨県,甲州市,33927
山梨県,中央市,31322
山梨県,市川三郷町,17111
山梨県,早川町,1246
山梨県,身延町,14462
山梨県,南部町,9011
山梨県,富士川町,16307
山梨県,昭和町,17653
山梨県,道志村,1919
山梨県,西桂町,4541
山梨県,忍野村,8635
山梨県,山中湖村,5324
山梨県,鳴沢村,2964
山梨県,富士河口湖町,25471
山梨県,小菅村,816
山梨県,丹波山村,685
長野県,長野市,381511
長野県,松本市,243037
長野県,上田市,159597
長野県,岡谷市,52841
長野県,飯田市,105335
長野県,諏訪市,51200
長野県,須坂市,52168
長野県,小諸市,43997
長野県,伊那市,71093
長野県,駒ヶ根市,33693
長野県,中野市,45638
長野県,大町市,29801
長野県,飯山市,23545
長野県,茅野市,56391
長野県,塩尻市,67670
長野県,佐久市,100552
長野県,千曲市,62068
長野県,東御市,30696
長野県,安曇野市,96479
長野県,小海町,5180
長野県,川上村,4972
長野県,南牧村,3528
長野県,南相木村,1121
長野県,北相木村,842
長野県,佐久穂町,12069
長野県,軽井沢町,19018
長野県,御代田町,14738
長野県,立科町,7707
長野県,青木村,4609
長野県,長和町,6780
長野県,下諏訪町,21532
長野県,富士見町,15338
長野県,原村,7573
長野県,辰野町,20909
長野県,箕輪町,26214
長野県,飯島町,9902
長野県,南箕輪村,14543
長野県,中川村,5074
長野県,宮田村,8974
長野県,松川町,13676
長野県,高森町,13216
長野県,阿南町,5455
長野県,阿智村,7036
長野県,平谷村,563
長野県,根羽村,1129
長野県,下條村,4200
長野県,売木村,656
長野県,天龍村,1657
長野県,泰阜村,1910
長野県,喬木村,6692
長野県,豊丘村,6819
長野県,大鹿村,1160
長野県,上松町,5245
長野県,南木曽町,4810
長野県,木祖村,3134
長野県,王滝村,965
長野県,大桑村,4145
長野県,木曽町,12743
長野県,麻績村,2970
長野県,生坂村,1953
長野県,山形村,8425
長野県,朝日村,4741
長野県,筑北村,5172
長野県,池田町,10329
長野県,松川村,10093
長野県,白馬村,9205
長野県,小谷村,3221
長野県,坂城町,15730
長野県,小布施町,11072
長野県,高山村,7563
長野県,山ノ内町,13678
長野県,木島平村,4939
長野県,野沢温泉村,3853
長野県,信濃町,9238
長野県,小川村,3041
長野県,飯綱町,11865
長野県,栄村,2215
岐阜県,岐阜市,413136
岐阜県,大垣市,161160
岐阜県,高山市,92747
岐阜県,多治見市,112595
岐阜県,関市,91418
岐阜県,中津川市,80910
岐阜県,美濃市,22629
岐阜県,瑞浪市,40387
岐阜県,羽島市,67197
岐阜県,恵那市,53718
岐阜県,美濃加茂市,54729
岐阜県,土岐市,60475
岐阜県,各務原市,145604
岐阜県,可児市,97436
岐阜県,山県市,29629
岐阜県,瑞穂市,51950
岐阜県,飛騨市,26732
岐阜県,本巣市,35047
岐阜県,郡上市,44491
岐阜県,下呂市,36314
岐阜県,海津市,37941
岐阜県,岐南町,23804
岐阜県,笠松町,22809
岐阜県,養老町,31332
岐阜県,垂井町,28505
岐阜県,関ケ原町,8096
岐阜県,神戸町,20065
岐阜県,輪之内町,10028
岐阜県,安八町,15271
岐阜県,揖斐川町,23784
岐阜県,大野町,23859
岐阜県,池田町,24980
岐阜県,北方町,18395
岐阜県,坂祝町,8361
岐阜県,富加町,5516
岐阜県,川辺町,10593
岐阜県,七宗町,4484
岐阜県,八百津町,12045
岐阜県,白川町,9530
岐阜県,東白川村,2514
岐阜県,御嵩町,18824
岐阜県,白川村,1733
静岡県,静岡市,716197
静岡県,浜松市,800866
静岡県,沼津市,202304
静岡県,熱海市,39611
静岡県,三島市,111838
静岡県,富士宮市,132001
静岡県,伊東市,71437
静岡県,島田市,100276
静岡県,富士市,254027
静岡県,磐田市,168625
静岡県,焼津市,143249
静岡県,掛川市,116363
静岡県,藤枝市,142151
静岡県,御殿場市,89030
静岡県,袋井市,84846
静岡県,下田市,25013
静岡県,裾野市,54546
静岡県,湖西市,60107
静岡県,伊豆市,34202
静岡県,御前崎市,34700
静岡県,菊川市,47041
静岡県,伊豆の国市,49269
静岡県,牧之原市,49019
静岡県,東伊豆町,14064
静岡県,河津町,7998
静岡県,南伊豆町,9516
静岡県,松崎町,7653
静岡県,西伊豆町,9469
静岡県,函南町,38571
静岡県,清水町,32302
静岡県,長泉町,40763
静岡県,小山町,20629
静岡県,吉田町,29815
静岡県,川根本町,8074
静岡県,森町,19435
愛知県,名古屋市,2263894
愛知県,豊橋市,376665
愛知県,岡崎市,372357
愛知県,一宮市,378566
愛知県,瀬戸市,132224
愛知県,半田市,118828
愛知県,春日井市,305569
愛知県,豊川市,181928
愛知県,津島市,65258
愛知県,碧南市,72018
愛知県,刈谷市,145781
愛知県,豊田市,421487
愛知県,安城市,178691
愛知県,西尾市,165298
愛知県,蒲郡市,82249
愛知県,犬山市,75198
愛知県,常滑市,54858
愛知県,江南市,99730
愛知県,小牧市,147132
愛知県,稲沢市,136442
愛知県,新城市,49864
愛知県,東海市,107690
愛知県,大府市,85249
愛知県,知多市,84768
愛知県,知立市,68398
愛知県,尾張旭市,81140
愛知県,高浜市,44027
愛知県,岩倉市,47340
愛知県,豊明市,69745
愛知県,日進市,84237
愛知県,田原市,64119
愛知県,愛西市,64978
愛知県,清須市,65757
愛知県,北名古屋市,81571
愛知県,弥富市,43272
愛知県,みよし市,60098
愛知県,あま市,86714
愛知県,長久手市,52022
愛知県,東郷町,41851
愛知県,豊山町,14405
愛知県,大口町,22446
愛知県,扶桑町,33558
愛知県,大治町,29891
愛知県,蟹江町,36688
愛知県,飛島村,4525
愛知県,阿久比町,25466
愛知県,東浦町,49800
愛知県,南知多町,20549
愛知県,美浜町,25178
愛知県,武豊町,42408
愛知県,幸田町,37930
愛知県,設楽町,5769
愛知県,東栄町,3757
愛知県,豊根村,1336
三重県,津市,285746
三重県,四日市市,307766
三重県,伊勢市,130271
三重県,松阪市,168017
三重県,桑名市,140290
三重県,鈴鹿市,199293
三重県,名張市,80284
三重県,尾鷲市,20033
三重県,亀山市,51023
三重県,鳥羽市,21435
三重県,熊野市,19662
三重県,いなべ市,45684
三重県,志摩市,54694
三重県,伊賀市,97207
三重県,木曽岬町,6855
三重県,東員町,25661
三重県,菰野町,39978
三重県,朝日町,9626
三重県,川越町,14003
三重県,多気町,15438
三重県,明和町,22833
三重県,大台町,10416
三重県,玉城町,15297
三重県,度会町,8692
三重県,大紀町,9846
三重県,南伊勢町,14791
三重県,紀北町,18611
三重県,御浜町,9376
三重県,紀宝町,11896
滋賀県,大津市,337634
滋賀県,彦根市,112156
滋賀県,長浜市,124131
滋賀県,近江八幡市,81738
滋賀県,草津市,130874
滋賀県,守山市,76560
滋賀県,栗東市,63655
滋賀県,甲賀市,92704
滋賀県,野洲市,49955
滋賀県,湖南市,54614
滋賀県,高島市,52486
滋賀県,東近江市,115479
滋賀県,米原市,40060
滋賀県,日野町,22870
滋賀県,竜王町,12916
滋賀県,愛荘町,20118
滋賀県,豊郷町,7566
滋賀県,甲良町,7500
滋賀県,多賀町,7761
京都府,京都市,1474015
京都府,福知山市,79652
京都府,舞鶴市,88669
京都府,綾部市,35836
京都府,宇治市,189609
京都府,宮津市,19948
京都府,亀岡市,92399
